County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Los Angeles,Carson,"92,735",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Cerritos,"51,020",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Claremont,"36,015",1,1,2017-06,,2,1/24/2017,1/24/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Commerce,"12,947",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Compton,"97,612",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Covina,"48,462",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Cudahy,"24,076",1,1,15-01,,2,1/6/2015,1/6/2015,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Culver City,"39,283",1,1,2017-R025,,2,3/27/2017,3/27/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Diamond Bar,"56,665",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Downey,"113,092",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Duarte,"21,757",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,El Monte,"116,109",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,El Segundo,"16,853",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Gardena,"60,224",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Glendale,"203,054",1,1,17-32,,2,3/28/2017,3/28/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Glendora,"52,445",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Hawaiian Gardens,"14,450",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,Hawthorne,"87,854",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
