,GEO.display-label,2010,2011,2012,2013,2014,2015,2016,2017
163,"Buena Park city, California",9.8,10.2,11.1,12,12.8,13.4,14.1,15.4
164,"Buena Vista CDP, California",9.5,12,20.3,21.7,22.2,19.9,27.8,35.3
165,"Burbank city, California",8.2,8.1,8.5,9.4,10.1,11,11.5,11.3
166,"Burbank CDP, California",12.2,13.1,12.6,15.2,14.7,12.1,9.3,10.1
167,"Burlingame city, California",7.2,7.4,8.5,7.5,6.4,6.9,7.2,5.9
168,"Burney CDP, California",14.4,18.7,17.9,17.4,19.9,23.8,24.9,27.9
169,"Burnt Ranch CDP, California",20.3,25.3,24.6,13.7,15.9,11.9,18.1,18.5
170,"Butte Creek Canyon CDP, California",4.7,13.9,13,15.2,17.1,10.6,1.6,2.1
171,"Butte Meadows CDP, California",0,0,0,0,0,0,0,0
172,"Butte Valley CDP, California",14.8,14.5,21.5,23.9,25.1,5.9,9.5,13.8
173,"Buttonwillow CDP, California",27.2,41,38.7,43.4,39.8,37.1,34.1,40.2
174,"Byron CDP, California",8.7,7,13.1,13.9,1.3,3.6,4.3,11.8
175,"Bystrom CDP, California",30.3,37.1,31.6,31.7,33,34.2,30.3,30.2
176,"Cabazon CDP, California",32.1,30.9,28.2,22.1,28.7,30.7,32.6,31.5
177,"Calabasas city, California",6,6.5,6.2,6.6,7.8,7.9,6.9,7.7
178,"Calexico city, California",22.1,23.9,24.1,25.4,26.1,27.4,26.3,25.3
179,"California City city, California",23,24,27.2,24,23.8,22.8,26.3,29.9
180,"California Hot Springs CDP, California",9.2,9,15.1,15,14.5,15,15.9,0
181,"California Pines CDP, California",0,0,12.5,23.3,31.6,31.3,37.9,22
182,"Calimesa city, California",13.7,10.1,14.5,13.4,15.4,14.8,16.3,12.1
183,"Calipatria city, California",17.2,18.5,21.1,23.1,27.4,32.6,33.5,37.9
184,"Calistoga city, California",10.5,13.6,11.9,12.7,14.8,16.3,8.9,11
185,"Callender CDP, California",3,3.3,3.1,9.9,8,9.3,8.2,9.6
